,laptop_ID,Company,TypeName,Inches,Ram,Weight,Price_euros,Width,Height,Touchscreen,CPU_Company,CPU_Type,CPU_GHZ,GPU_Company,GPU_Type,Memory_Size,Memory_Type,OpSys_Main,Model
14,1052,Latitude,Notebook,15.6,8.0,2.09,1062.95,1920.0,1080.0,0,Intel,i5,2.4GHz,Intel,,256GB,SSD,Windows,E5570
15,1086,ProBook,Notebook,15.6,4.0,2.31,1199.0,1366.0,768.0,0,Intel,i5,2.3GHz,Intel,,500GB,HDD,Windows,650
16,920,IdeaPad,Notebook,15.6,8.0,2.6,789.0,1920.0,1080.0,0,Intel,i5,2.3GHz,Nvidia,GTX,128GB,SSD +  1TB HDD,Windows,Y700-15ISK
17,1302,Yoga,2 in 1 Convertible,14.0,4.0,1.8,638.0,1920.0,1080.0,1,Intel,i7,2.5GHz,Intel,,128GB,SSD,Windows,500-14ISK
18,270,Inspiron,2 in 1 Convertible,15.6,8.0,2.67,799.0,1920.0,1080.0,1,Intel,i5,1.6GHz,Intel,,256GB,SSD,Windows,5579
19,1126,Vostro,Notebook,15.6,4.0,2.24,769.15,1366.0,768.0,0,Intel,i5,2.3GHz,AMD,,500GB,HDD,Windows,3559
20,917,Gram,Ultrabook,15.6,16.0,1.08,2099.0,1920.0,1080.0,1,Intel,i7,2.7GHz,Intel,,512GB,SSD,Windows,15Z970
21,382,Yoga,Netbook,11.6,4.0,1.59,553.0,1366.0,768.0,0,Intel,N3450,1.1GHz,Intel,,128GB,SSD,Windows,11e
22,91,XPS,Ultrabook,13.3,8.0,1.21,1649.0,1920.0,1080.0,0,Intel,i7,1.8GHz,Intel,,256GB,SSD,Windows,13
23,529,Latitude,Notebook,14.0,8.0,1.64,1279.73,1920.0,1080.0,0,Intel,i5,2.6GHz,Intel,,256GB,SSD,Windows,5480
24,1138,Latitude,Notebook,15.6,4.0,2.09,523.63,1366.0,768.0,0,Intel,i5,2.3GHz,Intel,,500GB,HDD,Linux,E5570
25,228,ProBook,Notebook,15.6,8.0,2.1,794.0,1920.0,1080.0,0,Intel,i5,1.6GHz,Intel,,1TB,HDD,Windows,450
26,951,GP62M,Gaming,15.6,8.0,2.2,1199.0,1920.0,1080.0,0,Intel,i7,2.8GHz,Nvidia,GTX,128GB,SSD +  1TB HDD,Windows,Leopard
27,979,Inspiron,Notebook,15.6,4.0,2.25,465.62,1366.0,768.0,0,Intel,i3,2.0GHz,AMD,,1TB,HDD,Linux,3567
28,372,Inspiron,Notebook,17.3,8.0,2.8,1085.0,1920.0,1080.0,0,Intel,i5,1.6GHz,AMD,,128GB,SSD +  1TB HDD,Windows,5770
29,603,ThinkPad,2 in 1 Convertible,13.3,8.0,1.37,2025.0,1920.0,1080.0,1,Intel,i7,2.7GHz,Intel,,512GB,SSD,Windows,Yoga
30,441,Thinkpad,Notebook,15.6,16.0,2.5,2449.0,1920.0,1080.0,0,Intel,i7,2.9GHz,Nvidia,,512GB,SSD,Windows,P51
31,960,Latitude,Ultrabook,12.5,8.0,1.36,1472.2,1920.0,1080.0,1,Intel,i5,2.5GHz,Intel,,256GB,SSD,Windows,7280
32,527,Legion,Gaming,15.6,8.0,3.2,1399.0,1920.0,1080.0,0,Intel,i7,2.8GHz,Nvidia,GTX,256GB,SSD +  1TB HDD,Windows,Y720-15IKB
33,405,Precision,Workstation,15.6,8.0,1.78,2712.0,3840.0,2160.0,1,Intel,i7,2.8GHz,Nvidia,,256GB,SSD,Windows,M5520
34,6,Aspire,Notebook,15.6,4.0,2.1,400.0,1366.0,768.0,0,AMD,A9,3GHz,AMD,,500GB,HDD,Windows,3
35,819,Omen,Gaming,17.3,12.0,3.74,1749.0,1920.0,1080.0,0,Intel,i7,2.8GHz,AMD,RX 580,1TB,HDD,Windows,17-an012dx
36,58,VivoBook,Notebook,15.6,4.0,2.0,586.19,1366.0,768.0,0,Intel,i5,2.5GHz,Intel,,256GB,SSD,Windows,Max
37,1234,E5,Notebook,17.3,4.0,3.3,598.0,1600.0,900.0,0,Intel,i3,2GHz,Nvidia,,1TB,HDD,Windows,774G
38,359,Zbook,Workstation,15.6,8.0,2.6,1738.27,1920.0,1080.0,0,Intel,i7,2.8GHz,Nvidia,,256GB,SSD,Windows,15
39,1272,Inspiron,Notebook,15.6,4.0,2.2,443.99,1366.0,768.0,0,Intel,N3700,1.6GHz,Intel,,500GB,HDD,Windows,3552
40,1170,B51-80,Notebook,15.6,8.0,2.32,599.0,1920.0,1080.0,0,Intel,i5,2.3GHz,AMD,,1TB,HDD,No,(i5-6200U/8GB/1TB/Radeon
41,587,SmartBook,Notebook,14.0,4.0,1.45,389.0,1920.0,1080.0,0,Intel,N3450,1.1GHz,Intel,,32GB,SSD,Windows,Edge
42,283,IdeaPad,Notebook,17.3,4.0,2.8,489.0,1600.0,900.0,0,Intel,i3,2GHz,Intel,,1TB,HDD,Windows,320-17ISK
43,1108,Inspiron,Ultrabook,13.3,4.0,1.4,818.35,1920.0,1080.0,0,Intel,i5,1.6GHz,AMD,,256GB,SSD,Windows,5370
44,686,Gram,Ultrabook,15.6,8.0,1.09,2299.0,1920.0,1080.0,0,Intel,i7,1.8GHz,Intel,,512GB,SSD,Windows,15Z975
45,922,Gram,Ultrabook,14.0,8.0,0.98,1899.0,1920.0,1080.0,1,Intel,i7,2.7GHz,Intel,,512GB,SSD,Windows,14Z970
46,157,EliteBook,Ultrabook,14.0,4.0,1.48,1082.0,1920.0,1080.0,0,Intel,i5,2.7GHz,Intel,,256GB,SSD,Windows,840
47,1194,B51-80,Notebook,15.6,4.0,2.32,825.0,1920.0,1080.0,0,Intel,i7,2.5GHz,Intel,,0TB,Hybrid,Windows,(i7-6500U/4GB/1008GB/FHD/W7)
48,77,FX503VD-E4022T,Gaming,15.6,8.0,2.2,949.0,1920.0,1080.0,0,Intel,i7,2.8GHz,Nvidia,GTX,1TB,HDD,Windows,(i7-7700HQ/8GB/1TB/GeForce
49,901,Probook,Notebook,14.0,4.0,1.95,1265.0,1920.0,1080.0,0,Intel,i5,2.5GHz,Intel,,128GB,SSD,Windows,640
50,1153,Inspiron,Notebook,15.6,8.0,2.5,784.0,1366.0,768.0,0,Intel,i5,2.5GHz,AMD,,1TB,HDD,Windows,5567
51,634,IdeaPad,Notebook,15.6,4.0,2.2,468.0,1920.0,1080.0,0,Intel,i5,2.5GHz,Intel,,128GB,SSD,No,320-15IKBN
52,147,255,Notebook,15.6,4.0,1.86,369.0,1366.0,768.0,0,AMD,A6,2.5GHz,AMD,,256GB,SSD,Windows,G6
53,258,Yoga,2 in 1 Convertible,13.9,8.0,1.37,1849.0,1920.0,1080.0,1,Intel,i7,1.8GHz,Intel,,512GB,SSD,Windows,920-13IKB
54,640,V330-15IKB,Notebook,15.6,4.0,1.8,829.0,1920.0,1080.0,0,Intel,i5,1.6GHz,Intel,,256GB,SSD,Windows,(i5-8250U/4GB/256GB/FHD/W10)
55,675,15-bs012nv,Notebook,15.6,8.0,2.1,745.0,1920.0,1080.0,0,Intel,i7,2.7GHz,AMD,,1TB,HDD,Windows,(i7-7500U/8GB/1TB/Radeon
56,956,TravelMate,Notebook,15.6,4.0,2.23,619.0,1366.0,768.0,0,Intel,i5,2.5GHz,Intel,,500GB,HDD,Windows,P259-G2
57,1295,Aspire,Notebook,15.6,4.0,2.4,289.0,1366.0,768.0,0,Intel,N3060,1.6GHz,Intel,,500GB,HDD,Linux,ES1-531
58,723,Thinkpad,Notebook,14.0,8.0,1.87,857.07,1920.0,1080.0,0,Intel,i5,2.5GHz,Nvidia,,256GB,SSD,Windows,E470
59,1093,V110-15ISK,Notebook,15.6,4.0,2.1,540.0,1366.0,768.0,0,Intel,i5,2.3GHz,Intel,,500GB,HDD,Windows,(i5-6200U/4GB/500GB/W10)
60,1289,Yoga,2 in 1 Convertible,13.3,16.0,1.3,1499.0,3200.0,1800.0,1,Intel,i7,2.5GHz,Intel,,512GB,SSD,Windows,900-13ISK
61,1130,XPS,Ultrabook,13.3,8.0,1.23,1379.0,1920.0,1080.0,0,Intel,i7,2.4GHz,Intel,,256GB,SSD,Windows,13
62,864,ThinkPad,Ultrabook,14.0,8.0,1.96,1903.0,1920.0,1080.0,0,Intel,i7,2.8GHz,Nvidia,,256GB,SSD,Windows,T470p
63,842,Thinkpad,Notebook,14.0,8.0,1.7,1186.0,1920.0,1080.0,0,Intel,i5,2.3GHz,Intel,,256GB,SSD,Windows,T460
64,294,IdeaPad,Notebook,15.6,8.0,2.2,659.01,1920.0,1080.0,0,Intel,i7,2.7GHz,Nvidia,,1TB,HDD,No,320-15IKB
65,315,IdeaPad,Notebook,13.3,8.0,1.1,999.0,1920.0,1080.0,0,Intel,i5,2.5GHz,Intel,,256GB,SSD,Windows,720S-13IKB
66,89,250,Notebook,15.6,8.0,1.96,598.99,1920.0,1080.0,0,Intel,i5,2.5GHz,Intel,,256GB,SSD,Windows,G6
67,7,MacBook,Ultrabook,15.4,16.0,2.04,2139.97,2880.0,1800.0,0,Intel,i7,2.2GHz,Intel,,256GB,Flash Storage,Mac,Pro
68,636,XPS,Notebook,15.6,8.0,2.0,1820.0,1920.0,1080.0,0,Intel,i7,2.8GHz,Nvidia,GTX,256GB,SSD,Windows,15
69,872,EliteBook,Notebook,15.6,8.0,1.84,1349.0,1920.0,1080.0,0,Intel,i5,2.6GHz,AMD,,256GB,SSD,Windows,850
70,633,SmartBook,Notebook,14.0,2.0,1.4,239.0,1920.0,1080.0,0,Intel,x5,1.44GHz,Intel,,32GB,Flash Storage,Windows,140
71,870,IdeaPad,Notebook,15.6,4.0,2.2,469.0,1920.0,1080.0,0,Intel,i3,2.0GHz,Intel,,1TB,HDD,No,110-15ISK
72,1009,ZenBook,Notebook,13.3,8.0,1.4,1150.0,3200.0,1800.0,0,Intel,i5,2.5GHz,Intel,,256GB,SSD,Windows,UX310UA-FB485T
73,580,Thinkpad,Notebook,15.6,8.0,2.3,830.0,1920.0,1080.0,0,Intel,i5,2.5GHz,Intel,,256GB,SSD,Windows,E570
74,1034,Inspiron,2 in 1 Convertible,15.6,4.0,2.08,795.99,1920.0,1080.0,1,Intel,i3,2.3GHz,Intel,,1TB,HDD,Windows,5568
75,585,GT73VR,Gaming,17.3,16.0,4.14,2729.0,1920.0,1080.0,0,Intel,i7,2.9GHz,Nvidia,GTX,512GB,SSD +  1TB HDD,Windows,Titan
76,429,ProBook,Notebook,15.6,8.0,2.31,1427.0,1920.0,1080.0,0,Intel,i7,2.9GHz,Intel,,256GB,SSD,Windows,650
77,325,Elitebook,Notebook,14.0,8.0,1.48,1292.0,1920.0,1080.0,0,Intel,i7,2.7GHz,Intel,,256GB,SSD,Windows,840
78,608,ProBook,Notebook,15.6,4.0,2.1,668.48,1366.0,768.0,0,Intel,i3,2.4GHz,Intel,,500GB,HDD,Windows,450
79,862,Rog,Gaming,15.6,16.0,2.1,1899.0,1920.0,1080.0,0,Intel,i7,2.8GHz,Nvidia,GTX,128GB,SSD +  1TB HDD,Windows,GL502VM-DS74
80,457,15-bs024nv,Notebook,15.6,8.0,1.91,589.0,1366.0,768.0,0,Intel,i5,2.5GHz,Intel,,128GB,SSD,Windows,(i5-7200U/8GB/128GB/W10)
81,989,Probook,Notebook,15.6,8.0,2.04,979.0,1920.0,1080.0,0,Intel,i5,2.70GHz,Nvidia,,128GB,SSD +  1TB HDD,Windows,450
82,34,XPS,Ultrabook,13.3,16.0,1.2,1869.0,3200.0,1800.0,1,Intel,i7,1.8GHz,Intel,,512GB,SSD,Windows,13
83,194,Thinkpad,2 in 1 Convertible,14.0,16.0,1.42,2824.0,2560.0,1440.0,1,Intel,i7,2.7GHz,Intel,,1TB,SSD,Windows,Yoga
84,949,EliteBook,Netbook,12.5,8.0,1.26,1669.0,1920.0,1080.0,0,Intel,i5,2.3GHz,Intel,,256GB,SSD,Windows,820
85,1059,EliteBook,Notebook,15.6,8.0,1.84,2103.34,1920.0,1080.0,0,Intel,i5,2.4GHz,Intel,,256GB,SSD +  500GB HDD,Windows,850
86,1276,B51-80,Notebook,15.6,8.0,2.32,895.0,1920.0,1080.0,0,Intel,i7,2.5GHz,AMD,,0TB,Hybrid,Windows,(i7-6500U/8GB/1008GB/Radeon
87,628,ThinkPad,Notebook,14.0,8.0,1.65,1465.0,1920.0,1080.0,0,Intel,i5,2.3GHz,Intel,,256GB,SSD,Windows,T470
88,1155,EliteBook,Ultrabook,15.6,8.0,1.88,2171.72,1920.0,1080.0,0,Intel,i7,2.5GHz,Intel,,256GB,SSD,Windows,850
89,371,15-AY023na,Notebook,15.6,8.0,2.04,389.0,1366.0,768.0,0,Intel,N3710,1.6GHz,Intel,,2TB,HDD,Windows,(N3710/8GB/2TB/W10)
90,590,Latitude,Notebook,15.6,16.0,1.93,1537.39,1920.0,1080.0,0,Intel,i7,2.8GHz,Nvidia,,256GB,SSD,Windows,5580
91,877,Portg,Ultrabook,13.3,8.0,1.2,1095.0,1366.0,768.0,0,Intel,i5,2.3GHz,Intel,,256GB,SSD,Windows,Z30-C-188
92,555,250,Notebook,15.6,4.0,1.86,397.0,1920.0,1080.0,0,Intel,i3,2GHz,Intel,,500GB,HDD,Windows,G6
93,337,Satellite,Notebook,15.6,8.0,2.0,943.0,1920.0,1080.0,0,Intel,i5,2.5GHz,Intel,,256GB,SSD,Windows,Pro
94,495,Thinkpad,Ultrabook,12.5,16.0,1.36,1798.0,1920.0,1080.0,0,Intel,i7,2.7GHz,Intel,,512GB,SSD,Windows,X270
95,557,IdeaPad,Notebook,15.6,4.0,2.2,499.0,1920.0,1080.0,0,Intel,i3,2GHz,Intel,,128GB,SSD,Windows,320-15ISK
96,169,GE63VR,Gaming,15.6,16.0,2.4,1799.0,1920.0,1080.0,0,Intel,i7,2.8GHz,Nvidia,GTX,256GB,SSD +  1TB HDD,Windows,7RE
97,95,Inspiron,Gaming,15.6,8.0,2.65,1195.0,1920.0,1080.0,0,Intel,i5,2.5GHz,Nvidia,GTX,256GB,SSD,Windows,7577
98,741,Extensa,Notebook,15.6,4.0,2.4,559.0,1366.0,768.0,0,Intel,i5,2.5GHz,Intel,,500GB,HDD,Windows,EX2540-58KR
99,892,Pavilion,2 in 1 Convertible,15.6,4.0,2.3,684.8,1366.0,768.0,1,Intel,i5,2.5GHz,Intel,,500GB,HDD,Windows,x360
100,409,ThinkPad,Notebook,15.6,8.0,2.1,1144.5,1920.0,1080.0,0,Intel,i5,1.6GHz,AMD,RX 550,256GB,SSD +  1TB HDD,Windows,E580
101,948,Tecra,Notebook,14.0,4.0,1.47,1105.0,1920.0,1080.0,0,Intel,i5,2.3GHz,Intel,,128GB,SSD,Windows,Z40-C-12X
102,321,Spectre,2 in 1 Convertible,13.3,16.0,1.29,2449.0,3840.0,2160.0,1,Intel,i7,1.8GHz,Intel,,1TB,SSD,Windows,x360
103,1015,ENVY,Notebook,13.3,8.0,1.34,1189.0,1920.0,1080.0,0,Intel,i5,2.5GHz,Intel,,256GB,SSD,Windows,-
104,213,IdeaPad,Notebook,15.6,8.0,2.2,597.0,1366.0,768.0,0,Intel,i5,2.5GHz,Intel,,256GB,SSD,Windows,320-15IKBN
105,530,ProBook,Notebook,15.6,4.0,1.63,689.0,1366.0,768.0,0,Intel,i3,2GHz,Intel,,128GB,SSD,Windows,440
106,511,Chromebook,Netbook,11.6,4.0,1.25,265.0,1366.0,768.0,0,Intel,N3060,1.6GHz,Intel,,16GB,SSD,Chrome,N23
107,811,XPS,Ultrabook,13.3,8.0,1.29,1499.0,1920.0,1080.0,0,Intel,i5,2.5GHz,Intel,,256GB,SSD,Windows,13
108,875,XPS,Ultrabook,13.3,16.0,1.29,2240.0,3200.0,1800.0,1,Intel,i7,2.5GHz,Intel,,512GB,SSD,Windows,13
109,627,ProBook,Notebook,14.0,8.0,2.31,1124.0,1366.0,768.0,0,Intel,i5,2.6GHz,Intel,,256GB,SSD,Windows,650
110,1174,GP72M,Gaming,17.3,16.0,2.7,1492.8,1920.0,1080.0,0,Intel,i7,2.8GHz,Nvidia,GTX,256GB,SSD +  1TB HDD,Windows,7REX
111,460,ThinkPad,Notebook,14.0,8.0,1.65,1345.0,1920.0,1080.0,0,Intel,i5,2.5GHz,Intel,,256GB,SSD,Windows,T470
112,1065,Noteb,Notebook,15.6,8.0,1.91,979.0,1920.0,1080.0,0,Intel,i7,2.7GHz,Nvidia,,1TB,HDD,Windows,Pav
113,652,Extensa,Notebook,15.6,4.0,2.4,450.0,1366.0,768.0,0,Intel,i3,2GHz,Intel,,500GB,HDD,Windows,EX2540
114,164,X555BP-XX180T,Notebook,15.6,4.0,2.03,403.0,1366.0,768.0,0,AMD,A9,3GHz,AMD,,1TB,HDD,Windows,(A9-9420/4GB/1TB/Radeon
115,348,ProBook,Notebook,15.6,8.0,2.1,716.0,1920.0,1080.0,0,Intel,i3,2.4GHz,Nvidia,,1TB,HDD,Windows,450
116,9,ZenBook,Ultrabook,14.0,16.0,1.3,1495.0,1920.0,1080.0,0,Intel,i7,1.8GHz,Nvidia,,512GB,SSD,Windows,UX430UN
117,868,EliteBook,2 in 1 Convertible,13.3,8.0,1.28,2559.0,1920.0,1080.0,1,Intel,i7,2.8GHz,Intel,,256GB,SSD,Windows,x360
118,386,Omen,Gaming,17.3,8.0,3.35,1191.0,1920.0,1080.0,0,Intel,i7,2.8GHz,Nvidia,GTX,128GB,SSD +  1TB HDD,Windows,17-w212nv
119,897,Vostro,Notebook,15.6,4.0,2.18,455.7,1366.0,768.0,0,Intel,i3,2.0GHz,AMD,,1TB,HDD,Linux,3568
120,1,MacBook,Ultrabook,13.3,8.0,1.37,1339.69,2560.0,1600.0,0,Intel,i5,2.3GHz,Intel,,128GB,SSD,macOS,Pro
121,72,Surface,Ultrabook,13.5,4.0,1.252,1089.0,2256.0,1504.0,1,Intel,i5,2.5GHz,Intel,,128GB,SSD,Windows,Laptop
122,73,Inspiron,Ultrabook,13.3,8.0,1.4,955.0,1920.0,1080.0,0,Intel,i7,1.8GHz,AMD,,256GB,SSD,Windows,5370
123,452,Latitude,Notebook,14.0,8.0,1.64,1179.0,1920.0,1080.0,0,Intel,i5,2.8GHz,Nvidia,,256GB,SSD,Windows,5480
124,588,Latitude,Notebook,15.6,8.0,1.9,1008.52,1366.0,768.0,0,Intel,i5,2.6GHz,Intel,,500GB,HDD,Windows,5580
125,1237,SP714-51,2 in 1 Convertible,14.0,8.0,1.2,1149.0,1920.0,1080.0,1,Intel,i7,1.3GHz,Intel,,256GB,SSD,Windows,(i7-7Y75/8GB/256GB/FHD/W10)
126,1187,PL60,Gaming,15.6,8.0,2.2,839.0,1920.0,1080.0,0,Intel,i7,2.7GHz,Nvidia,GTX,1TB,HDD,Windows,7RD
127,1270,IdeaPad,Notebook,15.6,6.0,2.4,569.0,1920.0,1080.0,0,Intel,i3,2.3GHz,Nvidia,,128GB,SSD,Windows,310-15ISK
128,54,ProBook,Notebook,13.3,8.0,1.49,1103.0,1920.0,1080.0,0,Intel,i7,1.8GHz,Intel,,512GB,SSD,Windows,430
129,802,Yoga,2 in 1 Convertible,15.6,8.0,2.08,959.0,1920.0,1080.0,1,Intel,i5,2.5GHz,AMD,,256GB,SSD,Windows,510-15IKB
130,1045,Aspire,Notebook,15.6,6.0,2.1,409.0,1366.0,768.0,0,AMD,A9,3GHz,AMD,,1TB,HDD,Windows,3
131,830,Tecra,Ultrabook,14.0,4.0,1.25,1090.0,1366.0,768.0,0,Intel,i5,2.5GHz,Intel,,128GB,SSD,Windows,X40-D-10Z
132,498,Portege,Ultrabook,13.3,32.0,1.05,2799.0,1920.0,1080.0,1,Intel,i7,2.7GHz,Intel,,512GB,SSD,Windows,X30-D-10L
133,908,Inspiron,Gaming,15.6,8.0,2.62,929.0,1920.0,1080.0,0,Intel,i7,2.8GHz,Nvidia,GTX,1TB,HDD,Linux,7567
134,339,V310-15ISK,Notebook,15.6,4.0,1.85,449.0,1920.0,1080.0,0,Intel,i3,2GHz,Intel,,1TB,HDD,Windows,(i3-6006U/4GB/1TB/FHD/W10)
135,1028,Probook,Notebook,13.3,4.0,1.49,800.0,1366.0,768.0,0,Intel,i3,2.4GHz,Intel,,500GB,HDD,Windows,430
136,353,Latitude,Ultrabook,15.6,16.0,1.88,1607.96,1920.0,1080.0,0,Intel,i7,1.9GHz,Intel,,512GB,SSD +  256GB SSD,Windows,5590
137,609,Aspire,Notebook,14.0,4.0,1.6,329.0,1920.0,1080.0,0,Intel,N3450,1.1GHz,Intel,,32GB,Flash Storage,Windows,1
138,1229,FX502VM-AS73,Notebook,15.6,16.0,2.2,1749.0,1920.0,1080.0,0,Intel,i7,2.8GHz,Nvidia,GTX,128GB,SSD +  1TB HDD,Windows,(i7-7700HQ/16GB/1TB
139,176,IdeaPad,Notebook,15.6,4.0,2.2,309.0,1366.0,768.0,0,AMD,A6,2.9GHz,AMD,,500GB,HDD,No,320-15AST
140,997,LifeBook,Notebook,15.6,4.0,2.3,649.0,1366.0,768.0,0,Intel,i5,2.3GHz,Intel,,256GB,SSD,Windows,A556
141,995,Portege,Notebook,13.3,4.0,1.2,1195.0,1920.0,1080.0,0,Intel,i5,2.3GHz,Intel,,128GB,SSD,Windows,Z30-C-1CV
142,962,Insprion,Notebook,17.3,4.0,2.36,659.0,1600.0,900.0,0,Intel,i3,2.0GHz,AMD,,1TB,HDD,Windows,5767
143,782,Inspiron,Gaming,15.6,8.0,2.62,1099.0,1920.0,1080.0,0,Intel,i7,2.8GHz,Nvidia,GTX,1TB,HDD,Windows,7567
144,730,ThinkPad,Ultrabook,14.0,8.0,1.32,1499.0,1920.0,1080.0,0,Intel,i5,2.5GHz,Intel,,256GB,SSD,Windows,T470s
145,84,ProBook,Notebook,14.0,8.0,1.63,860.0,1920.0,1080.0,0,Intel,i5,1.6GHz,Intel,,256GB,SSD,Windows,440
146,289,Aspire,Notebook,15.6,8.0,3.0,951.0,1920.0,1080.0,0,Intel,i7,1.8GHz,Nvidia,,256GB,SSD,Windows,A517-51G
147,74,Inspiron,Notebook,15.6,8.0,2.2,870.0,1920.0,1080.0,0,Intel,i7,1.8GHz,AMD,,256GB,SSD,Windows,5570
148,220,Inspiron,Ultrabook,13.3,8.0,1.4,931.88,1920.0,1080.0,0,Intel,i7,1.8GHz,AMD,,256GB,SSD,Windows,5370
149,143,Aspire,Notebook,17.3,4.0,3.0,655.0,1920.0,1080.0,0,Intel,i3,2.7GHz,Nvidia,,1TB,HDD,Windows,5
150,453,Aspire,Notebook,15.6,4.0,2.4,441.8,1366.0,768.0,0,Intel,i5,2.5GHz,Intel,,500GB,HDD,Linux,ES1-572
151,184,Inspiron,Notebook,15.6,16.0,2.02,1049.0,1920.0,1080.0,0,Intel,i7,1.8GHz,AMD,,256GB,SSD +  2TB HDD,Linux,5570
152,71,FX753VE-GC093,Gaming,17.3,12.0,3.0,949.0,1920.0,1080.0,0,Intel,i7,2.8GHz,Nvidia,GTX,1TB,HDD,Linux,(i7-7700HQ/12GB/1TB/GeForce
153,622,FX753VD-GC007T,Gaming,17.3,8.0,3.0,1168.0,1920.0,1080.0,0,Intel,i7,2.8GHz,Nvidia,GTX,128GB,SSD +  1TB HDD,Windows,(i7-7700HQ/8GB/1TB
154,406,Thinkpad,Ultrabook,14.0,16.0,1.13,2625.0,2560.0,1440.0,0,Intel,i7,2.7GHz,Intel,,1TB,SSD,Windows,X1
155,1169,15-BA015wm,Notebook,15.6,4.0,1.86,297.0,1366.0,768.0,0,AMD,Series 7110,1.8GHz,AMD,,500GB,HDD,Windows,(E2-7110/4GB/500GB/W10)
156,179,Inspiron,Notebook,15.6,8.0,2.3,459.0,1366.0,768.0,0,Intel,i3,2.4GHz,Intel,,1TB,HDD,Windows,3567
157,488,Vostro,Notebook,15.6,4.0,2.18,586.6,1366.0,768.0,0,Intel,i3,2.4GHz,Intel,,1TB,HDD,Windows,3568
158,966,Portege,Notebook,13.3,8.0,1.2,1460.0,1920.0,1080.0,0,Intel,i5,2.3GHz,Intel,,256GB,SSD,Windows,Z30-C-1CW
159,1314,Stream,Netbook,11.6,2.0,1.17,209.0,1366.0,768.0,0,Intel,N3060,1.6GHz,Intel,,32GB,Flash Storage,Windows,11-Y000na
160,1288,Yoga,2 in 1 Convertible,14.0,4.0,1.8,638.0,1920.0,1080.0,1,Intel,i7,2.5GHz,Intel,,128GB,SSD,Windows,500-14ISK
161,340,FX553VD-FY647T,Gaming,15.6,8.0,2.5,999.0,1920.0,1080.0,0,Intel,i7,2.8GHz,Nvidia,GTX,256GB,SSD,Windows,(i7-7700HQ/8GB/256GB/GeForce
162,93,Aspire,Notebook,15.6,8.0,2.2,689.0,1920.0,1080.0,0,Intel,i7,1.8GHz,Nvidia,,1TB,HDD,Windows,5
163,24,Inspiron,2 in 1 Convertible,13.3,8.0,1.62,819.0,1920.0,1080.0,1,Intel,i5,1.6GHz,Intel,,256GB,SSD,Windows,5379
164,454,Precision,Workstation,15.6,8.0,2.23,1993.0,1920.0,1080.0,0,Intel,E3,3GHz,Nvidia,,64GB,Flash Storage +  1TB HDD,Windows,3520
165,393,Precision,Workstation,15.6,8.0,2.23,1369.0,1920.0,1080.0,0,Intel,i5,2.6GHz,AMD,,500GB,HDD,Windows,3510
